symptoms,duration,severity,triage_level
chest pain,2 hours,severe,2
no pulse,immediate,severe,1
mild headache,2 days,mild,5
vomiting and diarrhea,1 day,moderate,3
broken leg,5 hours,severe,2
sore throat,3 days,mild,5
high fever,1 day,moderate,3
sharp stomach pain,2 hours,severe,2
migraine,1 day,moderate,4
asthma attack,20 minutes,severe,2
shortness of breath,30 minutes,severe,2
gunshot wound,now,severe,1
sprained ankle,1 day,mild,4
back pain,3 weeks,mild,5
bleeding nose,1 hour,moderate,3
ear infection,2 days,mild,4
allergic reaction,20 minutes,severe,2
dizziness and nausea,6 hours,moderate,3
sneezing and cough,4 days,mild,5
stroke symptoms,immediate,severe,1
burning chest pain,30 minutes,severe,2
joint pain,1 week,mild,4
diabetic spike,2 hours,severe,2
fever and cough,3 days,moderate,3
broken wrist,3 hours,severe,2
routine checkup,none,mild,5
loss of consciousness,immediate,severe,1
blurry vision,2 days,moderate,3
palpitations,1 hour,severe,2
ear pain,1 day,mild,4
severe vomiting,12 hours,severe,2
uncontrolled bleeding,now,severe,1
mild cough,2 days,mild,5
abdominal cramps,4 hours,moderate,3
cuts needing stitches,1 hour,moderate,4
toothache,1 day,mild,4
difficulty breathing,10 minutes,severe,2
rash and itchiness,2 days,mild,5
head trauma,immediate,severe,1
high blood pressure,12 hours,moderate,3
fainting,5 minutes,severe,2
painful urination,2 days,moderate,3
urinary tract infection,3 days,moderate,3
numbness in arm,1 hour,moderate,3
burns on hand,3 hours,severe,2
minor cuts,2 days,mild,5
anxiety attack,30 minutes,severe,2
low blood sugar,1 hour,severe,2
nosebleed,1 hour,moderate,3
cold symptoms,3 days,mild,5
appendicitis signs,3 hours,severe,2
